dates,ffr_surprise,nfp_surprise,EarningsToPrice
19980330,0,0,0.0386816965245082
19980331,0,0,0.0386816965245082
19980401,0,0,0.0367188878467353
19980402,-1,0,0.0367188878467353
19980403,-4,-271,0.0367188878467353
19980406,1,0,0.0367188878467353
19980407,1,0,0.0367188878467353
19980408,0,0,0.0367188878467353
19980409,0,0,0.0367188878467353
19980413,2,0,0.0367188878467353
19980414,-1,0,0.0367188878467353
19980415,1,0,0.0367188878467353
19980416,0,0,0.0367188878467353
19980417,0,0,0.0367188878467353
19980420,0,0,0.0367188878467353
19980421,0,0,0.0367188878467353
19980422,0,0,0.0367188878467353
19980423,0,0,0.0367188878467353
19980424,0,0,0.0367188878467353
19980427,4,0,0.0367188878467353
19980428,-2,0,0.0367188878467353
19980429,0,0,0.0367188878467353
19980430,-3,0,0.0367188878467353
19980501,0,0,0.0353803272792663
19980504,0,0,0.0353803272792663
19980505,1,0,0.0353803272792663
19980506,-1,0,0.0353803272792663
19980507,0,0,0.0353803272792663
19980508,0,-8,0.0353803272792663
19980511,1,0,0.0353803272792663
19980512,-2,0,0.0353803272792663
19980513,0,0,0.0353803272792663
19980514,2,0,0.0353803272792663
19980515,0,0,0.0353803272792663
19980518,-1,0,0.0353803272792663
19980519,-2,0,0.0353803272792663
19980520,0,0,0.0353803272792663
19980521,1,0,0.0353803272792663
19980522,0,0,0.0353803272792663
19980526,-2,0,0.0353803272792663
19980527,-1,0,0.0353803272792663
19980528,1,0,0.0353803272792663
19980529,0,0,0.0353803272792663
19980601,-1,0,0.0353295682142148
19980602,1,0,0.0353295682142148
19980603,0,0,0.0353295682142148
19980604,1,0,0.0353295682142148
19980605,-1,71,0.0353295682142148
19980608,1,0,0.0353295682142148
19980609,0,0,0.0353295682142148
19980610,-1,0,0.0353295682142148
19980611,-2,0,0.0353295682142148
19980612,0,0,0.0353295682142148
19980615,-1,0,0.0353295682142148
19980616,1,0,0.0353295682142148
19980617,1,0,0.0353295682142148
19980618,-1,0,0.0353295682142148
19980619,0,0,0.0353295682142148
19980622,0,0,0.0353295682142148
19980623,0,0,0.0353295682142148
19980624,0,0,0.0353295682142148
19980625,0,0,0.0353295682142148
19980626,0,0,0.0353295682142148
19980629,0,0,0.0353295682142148
19980630,0,0,0.0353295682142148
19980701,-3.333333333,0,0.0351591046472812
19980702,0,5,0.0351591046472812
19980706,-2.214285714,0,0.0351591046472812
19980707,0,0,0.0351591046472812
19980708,0,0,0.0351591046472812
19980709,0,0,0.0351591046472812
19980710,2.214285714,0,0.0351591046472812
19980713,0,0,0.0351591046472812
19980714,0,0,0.0351591046472812
19980715,0,0,0.0351591046472812
19980716,0,0,0.0351591046472812
19980717,0,0,0.0351591046472812
19980720,0,0,0.0351591046472812
19980721,0,0,0.0351591046472812
19980722,0,0,0.0351591046472812
19980723,0,0,0.0351591046472812
19980724,0,0,0.0351591046472812
19980727,0,0,0.0351591046472812
19980728,0,0,0.0351591046472812
19980729,0,0,0.0351591046472812
19980730,0,0,0.0351591046472812
19980731,0,0,0.0351591046472812
19980803,-0.295238095,0,0.0334405747981117
19980804,-0.295238095,0,0.0334405747981117
19980805,-0.221428571,0,0.0334405747981117
19980806,-0.295238095,0,0.0334405747981117
19980807,1.55,11,0.0334405747981117
19980810,0.664285714,0,0.0334405747981117
19980811,0.221428571,0,0.0334405747981117
19980812,-0.59047619,0,0.0334405747981117
19980813,-0.738095238,0,0.0334405747981117
19980814,0.664285714,0,0.0334405747981117
19980817,-2.214285714,0,0.0334405747981117
19980818,0.811904762,0,0.0334405747981117
19980819,0,0,0.0334405747981117
19980820,-1,0,0.0334405747981117
19980821,-1,0,0.0334405747981117
19980824,0,0,0.0334405747981117
19980825,0,0,0.0334405747981117
19980826,-1,0,0.0334405747981117
19980827,-4,0,0.0334405747981117
19980828,-1,0,0.0334405747981117
19980831,-1,0,0.0334405747981117
19980901,-2,0,0.0357180212540247
19980902,4,0,0.0357180212540247
19980903,-1,0,0.0357180212540247
19980904,1,15,0.0357180212540247
19980908,0,0,0.0357180212540247
19980909,-5,0,0.0357180212540247
19980910,-9,0,0.0357180212540247
19980911,-3,0,0.0357180212540247
19980914,3,0,0.0357180212540247
19980915,1,0,0.0357180212540247
19980916,5,0,0.0357180212540247
19980917,1,0,0.0357180212540247
19980918,0,0,0.0357180212540247
19980921,0,0,0.0357180212540247
19980922,1,0,0.0357180212540247
19980923,-11,0,0.0357180212540247
19980924,-8,0,0.0357180212540247
19980925,-2,0,0.0357180212540247
19980928,3,0,0.0357180212540247
19980929,6,0,0.0357180212540247
19980930,0,0,0.0357180212540247
19981001,-10.71428571,0,0.037319720959398
19981002,-4.285714286,-131,0.037319720959398
19981005,-6.428571429,0,0.037319720959398
19981006,10.71428571,0,0.037319720959398
19981007,-4.285714286,0,0.037319720959398
19981008,-10.71428571,0,0.037319720959398
19981009,-10.71428571,0,0.037319720959398
19981012,0,0,0.037319720959398
19981013,6.428571429,0,0.037319720959398
19981014,10.71428571,0,0.037319720959398
19981015,-1.428571429,0,0.037319720959398
19981016,0,0,0.037319720959398
19981019,-2.142857143,0,0.037319720959398
19981020,2.142857143,0,0.037319720959398
19981021,0,0,0.037319720959398
19981022,0,0,0.037319720959398
19981023,0,0,0.037319720959398
19981026,6.428571429,0,0.037319720959398
19981027,-2.142857143,0,0.037319720959398
19981028,0,0,0.037319720959398
19981029,0,0,0.037319720959398
19981030,2.142857143,0,0.037319720959398
19981102,2.857142857,0,0.0367693976580433
19981103,-1.357142857,0,0.0367693976580433
19981104,0,0,0.0367693976580433
19981105,-1.428571429,-59,0.0367693976580433
19981106,2.571428571,0,0.0367693976580433
19981109,-1.785714286,0,0.0367693976580433
19981110,-1,0,0.0367693976580433
19981111,0,0,0.0367693976580433
19981112,-1.928571429,0,0.0367693976580433
19981113,3.357142857,0,0.0367693976580433
19981116,-4.285714286,0,0.0367693976580433
19981117,-4.357142857,0,0.0367693976580433
19981118,0,0,0.0367693976580433
19981119,3,0,0.0367693976580433
19981120,0,0,0.0367693976580433
19981123,0,0,0.0367693976580433
19981124,0,0,0.0367693976580433
19981125,2,0,0.0367693976580433
19981127,3,0,0.0367693976580433
19981130,-1,0,0.0367693976580433
19981201,-1,0,0.033061611457232
19981202,-1,0,0.033061611457232
19981203,-2,0,0.033061611457232
19981204,1,97,0.033061611457232
19981207,0,0,0.033061611457232
19981208,0,0,0.033061611457232
19981209,0,0,0.033061611457232
19981210,0,0,0.033061611457232
19981211,0,0,0.033061611457232
19981214,0,0,0.033061611457232
19981215,0,0,0.033061611457232
19981216,0,0,0.033061611457232
19981217,1,0,0.033061611457232
19981218,1,0,0.033061611457232
19981221,0,0,0.033061611457232
19981222,0,0,0.033061611457232
19981223,0,0,0.033061611457232
19981224,1.076923077,0,0.033061611457232
19981228,0,0,0.033061611457232
19981229,0,0,0.033061611457232
19981230,0,0,0.033061611457232
19981231,0,0,0.033061611457232
19990104,0,0,0.0316877442124281
19990105,1.076923077,0,0.0316877442124281
19990106,1.076923077,0,0.0316877442124281
19990107,-1.076923077,0,0.0316877442124281
19990108,1.076923077,178,0.0316877442124281
19990111,1.076923077,0,0.0316877442124281
19990112,0,0,0.0316877442124281
19990113,-1.076923077,0,0.0316877442124281
19990114,-2.153846154,0,0.0316877442124281
19990115,1.076923077,0,0.0316877442124281
19990119,0,0,0.0316877442124281
19990120,1.076923077,0,0.0316877442124281
19990121,-1.076923077,0,0.0316877442124281
19990122,-1.076923077,0,0.0316877442124281
19990125,1.076923077,0,0.0316877442124281
19990126,0,0,0.0316877442124281
19990127,0,0,0.0316877442124281
19990128,1.076923077,0,0.0316877442124281
19990129,0,0,0.0316877442124281
19990201,-0.933333333,0,0.0303765571962811
19990202,-0.394871795,0,0.0303765571962811
19990203,0.358974359,0,0.0303765571962811
19990204,0,0,0.0303765571962811
19990205,0,95,0.0303765571962811
19990208,0,0,0.0303765571962811
19990209,-1,0,0.0303765571962811
19990210,0,0,0.0303765571962811
19990211,0,0,0.0303765571962811
